t1,t2,prop_low,prop_med,prop_high,recall_high,fp_rate_high,crit_in_high,non_in_high,prop_ok,fp_ok,p1,p2,reason
0.01678860522806639,0.7957825124263763,0.5333333333333333,0.41333333333333333,0.05333333333333334,0.2,0.03076923076923077,2,2,False,True,53,95,
0.01678860522806639,0.808075954914093,0.5333333333333333,0.4266666666666667,0.04,0.2,0.015384615384615385,2,1,False,True,53,96,
0.01678860522806639,0.8108203637599946,0.5333333333333333,0.4266666666666667,0.04,0.2,0.015384615384615385,2,1,False,True,53,97,
0.01678860522806639,0.8775306439399714,0.5333333333333333,0.44,0.02666666666666667,0.1,0.015384615384615385,1,1,False,True,53,98,
0.01678860522806639,0.9468697357177736,0.5333333333333333,0.4533333333333333,0.013333333333333334,0.0,0.015384615384615385,0,1,False,True,53,99,
0.018066949024796393,0.17967018038034435,0.5333333333333333,0.30666666666666664,0.16,0.2,0.15384615384615385,2,10,False,False,54,85,
0.018066949024796393,0.20275903761386868,0.5333333333333333,0.32,0.14666666666666667,0.2,0.13846153846153847,2,9,False,True,54,86,
0.018066949024796393,0.23343122482299777,0.5333333333333333,0.3333333333333333,0.13333333333333333,0.2,0.12307692307692308,2,8,False,True,54,87,
0.018066949024796393,0.26595532894134527,0.5333333333333333,0.3466666666666667,0.12,0.2,0.1076923076923077,2,7,False,True,54,88,
0.018066949024796393,0.2861774861812591,0.5333333333333333,0.3466666666666667,0.12,0.2,0.1076923076923077,2,7,False,True,54,89,
0.018066949024796393,0.4081761717796342,0.5333333333333333,0.36,0.10666666666666667,0.2,0.09230769230769231,2,6,False,True,54,90,
0.018066949024796393,0.5290481948852543,0.5333333333333333,0.37333333333333335,0.09333333333333334,0.2,0.07692307692307693,2,5,False,True,54,91,
0.018066949024796393,0.6140420651435852,0.5333333333333333,0.38666666666666666,0.08,0.2,0.06153846153846154,2,4,False,True,54,92,
0.018066949024796393,0.6444703304767612,0.5333333333333333,0.38666666666666666,0.08,0.2,0.06153846153846154,2,4,False,True,54,93,
0.018066949024796393,0.7295469760894778,0.5333333333333333,0.4,0.06666666666666667,0.2,0.046153846153846156,2,3,False,True,54,94,
0.018066949024796393,0.7957825124263763,0.5333333333333333,0.41333333333333333,0.05333333333333334,0.2,0.03076923076923077,2,2,False,True,54,95,
0.018066949024796393,0.808075954914093,0.5333333333333333,0.4266666666666667,0.04,0.2,0.015384615384615385,2,1,False,True,54,96,
0.018066949024796393,0.8108203637599946,0.5333333333333333,0.4266666666666667,0.04,0.2,0.015384615384615385,2,1,False,True,54,97,
0.018066949024796393,0.8775306439399714,0.5333333333333333,0.44,0.02666666666666667,0.1,0.015384615384615385,1,1,False,True,54,98,
0.018066949024796393,0.9468697357177736,0.5333333333333333,0.4533333333333333,0.013333333333333334,0.0,0.015384615384615385,0,1,False,True,54,99,
0.018954592384397922,0.17967018038034435,0.5466666666666666,0.29333333333333333,0.16,0.2,0.15384615384615385,2,10,False,False,55,85,
0.018954592384397922,0.20275903761386868,0.5466666666666666,0.30666666666666664,0.14666666666666667,0.2,0.13846153846153847,2,9,False,True,55,86,
0.018954592384397922,0.23343122482299777,0.5466666666666666,0.32,0.13333333333333333,0.2,0.12307692307692308,2,8,False,True,55,87,
0.018954592384397922,0.26595532894134527,0.5466666666666666,0.3333333333333333,0.12,0.2,0.1076923076923077,2,7,False,True,55,88,
0.018954592384397922,0.2861774861812591,0.5466666666666666,0.3333333333333333,0.12,0.2,0.1076923076923077,2,7,False,True,55,89,
0.018954592384397922,0.4081761717796342,0.5466666666666666,0.3466666666666667,0.10666666666666667,0.2,0.09230769230769231,2,6,False,True,55,90,
0.018954592384397922,0.5290481948852543,0.5466666666666666,0.36,0.09333333333333334,0.2,0.07692307692307693,2,5,False,True,55,91,
0.018954592384397922,0.6140420651435852,0.5466666666666666,0.37333333333333335,0.08,0.2,0.06153846153846154,2,4,False,True,55,92,
0.018954592384397922,0.6444703304767612,0.5466666666666666,0.37333333333333335,0.08,0.2,0.06153846153846154,2,4,False,True,55,93,
0.018954592384397922,0.7295469760894778,0.5466666666666666,0.38666666666666666,0.06666666666666667,0.2,0.046153846153846156,2,3,False,True,55,94,
0.018954592384397922,0.7957825124263763,0.5466666666666666,0.4,0.05333333333333334,0.2,0.03076923076923077,2,2,False,True,55,95,
0.018954592384397922,0.808075954914093,0.5466666666666666,0.41333333333333333,0.04,0.2,0.015384615384615385,2,1,False,True,55,96,
0.018954592384397922,0.8108203637599946,0.5466666666666666,0.41333333333333333,0.04,0.2,0.015384615384615385,2,1,False,True,55,97,
0.018954592384397922,0.8775306439399714,0.5466666666666666,0.4266666666666667,0.02666666666666667,0.1,0.015384615384615385,1,1,False,True,55,98,
0.018954592384397922,0.9468697357177736,0.5466666666666666,0.44,0.013333333333333334,0.0,0.015384615384615385,0,1,False,True,55,99,
0.0193053968250751,0.17967018038034435,0.5466666666666666,0.29333333333333333,0.16,0.2,0.15384615384615385,2,10,False,False,56,85,
0.0193053968250751,0.20275903761386868,0.5466666666666666,0.30666666666666664,0.14666666666666667,0.2,0.13846153846153847,2,9,False,True,56,86,
